hp_bin_center,restriction_5th_percentile
25.0,0.2007372099999998
75.0,0.7250627907099993
125.0,0.7573660249476923
175.0,1.2590046277964277
225.0,1.7974172851224488
275.0,1.8119877604083339
325.0,1.4954921449999998
375.0,2.5548826357291654
425.0,2.9055542113023263
475.0,3.166023348764705
525.0,3.386727038094315
575.0,3.751276413916663
625.0,4.4493399225
675.0,4.398820907000003
725.0,5.0753052479999985
775.0,5.361355628333331
825.0,5.730377564999999
875.0,6.200102864999995
925.0,6.4674180333333275
975.0,7.263341020000007
1025.0,7.201112528000002
1075.0,7.429283865666675
1125.0,7.417406876000005
1175.0,7.725036703333336
1225.0,8.116474025833341
1275.0,8.82173103166667
1325.0,9.819394408749991
1375.0,10.000057716666658
1425.0,10.909898661666658
1475.0,11.955237613333326
1525.0,10.891330473333324
1575.0,11.024486069999995
1625.0,13.467793366666658
1675.0,13.793991366666662
1725.0,14.339494475000002
1775.0,16.019497525000016
1825.0,16.32662555333335
1875.0,nan
1925.0,nan
1975.0,nan
2025.0,nan
2075.0,nan
2125.0,nan
2175.0,nan
2225.0,nan
