hp_bin_center,restriction_5th_percentile
25.0,0.14938194044166658
75.0,0.40147442
125.0,0.6875249245
175.0,0.8196769426666666
225.0,0.6691240030000001
275.0,1.1525661045833335
325.0,0.92004551
375.0,1.329817954733553
425.0,1.6042247893750001
475.0,1.6833196311268115
525.0,1.917850719479814
575.0,2.2451281674545456
625.0,2.59632865241808
675.0,2.719319876333334
725.0,2.8165542014912286
775.0,3.171647797333335
825.0,3.567267365833331
875.0,4.108421221666667
925.0,4.536660585333333
975.0,4.868378825416666
1025.0,4.642214826
1075.0,4.722007879666666
1125.0,5.1622913780833315
1175.0,6.105756219749996
1225.0,6.536672271333328
1275.0,7.096060060666666
1325.0,7.505229452500004
1375.0,7.874251302666671
1425.0,8.471109980000008
1475.0,9.253984845833333
1525.0,9.300823394166661
1575.0,9.537024134999998
1625.0,8.40135379750001
1675.0,10.014778419166662
1725.0,10.230068943749995
1775.0,15.107146791666661
1825.0,nan
1875.0,nan
1925.0,nan
1975.0,nan
2025.0,nan
